{'id': 107, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 37.405147552490234}
{'id': 108, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 37.84117889404297}
{'id': 109, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 38.52737045288086}
{'id': 110, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 34.45874786376953}
{'id': 111, 'x': [0.4788999855518341, 0.8295000195503235, 0.2874000072479248], 'power': 35.24744415283203}
{'id': 112, 'x': [0.24789999425411224, -0.9251999855041504, 0.2874000072479248], 'power': 39.43151092529297}
{'id': 113, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 38.986083984375}
{'id': 114, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 37.728965759277344}
{'id': 115, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 34.36756896972656}
{'id': 116, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 37.53101348876953}
{'id': 117, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 35.03970718383789}
{'id': 118, 'x': [0.9577999711036682, 0.0, 0.2874000072479248], 'power': 39.738304138183594}
{'id': 119, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 37.13108825683594}
{'id': 120, 'x': [0.5493999719619751, -0.784600019454956, 0.2874000072479248], 'power': 34.514217376708984}
{'id': 121, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 38.98956298828125}
{'id': 122, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 37.00429916381836}
{'id': 123, 'x': [0.7336999773979187, -0.6157000064849854, 0.2874000072479248], 'power': 38.19078826904297}
{'id': 124, 'x': [0.9433000087738037, 0.1662999987602234, 0.2874000072479248], 'power': 37.77161407470703}
{'id': 125, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 39.37235641479492}
{'id': 126, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 37.516624450683594}
{'id': 127, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 34.162391662597656}
