{'id': 41, 'x': [0.6157000064849854, 0.7336999773979187, 0.2874000072479248], 'power': 37.103057861328125}
{'id': 42, 'x': [0.5493999719619751, 0.784600019454956, 0.2874000072479248], 'power': 34.967472076416016}
{'id': 43, 'x': [0.5493999719619751, 0.784600019454956, 0.2874000072479248], 'power': 35.923763275146484}
{'id': 44, 'x': [0.5493999719619751, 0.784600019454956, 0.2874000072479248], 'power': 34.41607666015625}
{'id': 45, 'x': [0.6157000064849854, 0.7336999773979187, 0.2874000072479248], 'power': 40.712745666503906}
{'id': 46, 'x': [0.5493999719619751, 0.784600019454956, 0.2874000072479248], 'power': 40.445640563964844}
{'id': 47, 'x': [0.5493999719619751, 0.784600019454956, 0.2874000072479248], 'power': 38.22587585449219}
{'id': 48, 'x': [0.5493999719619751, 0.784600019454956, 0.2874000072479248], 'power': 38.77302169799805}
{'id': 49, 'x': [0.5493999719619751, 0.784600019454956, 0.2874000072479248], 'power': 39.23818588256836}
{'id': 50, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 34.92308807373047}
{'id': 51, 'x': [0.8680999875068665, 0.4047999978065491, 0.2874000072479248], 'power': 39.64201354980469}
{'id': 52, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 38.785919189453125}
{'id': 53, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 40.15338897705078}
{'id': 54, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 34.45228958129883}
{'id': 55, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 38.47308349609375}
{'id': 56, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 36.20013427734375}
{'id': 57, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 37.04990768432617}
{'id': 58, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 39.20744323730469}
{'id': 59, 'x': [0.8680999875068665, 0.4047999978065491, 0.2874000072479248], 'power': 39.14262390136719}
{'id': 60, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 37.72969055175781}
{'id': 61, 'x': [0.9251999855041504, 0.24789999425411224, 0.2874000072479248], 'power': 39.8902587890625}
{'id': 62, 'x': [0.9000999927520752, 0.32760000228881836, 0.2874000072479248], 'power': 39.55376434326172}
{'id': 63, 'x': [0.9000999927520752, 0.32760000228881836, 0.2874000072479248], 'power': 38.00520706176758}
{'id': 64, 'x': [0.9000999927520752, 0.32760000228881836, 0.2874000072479248], 'power': 39.76850891113281}
{'id': 65, 'x': [0.9251999855041504, 0.24789999425411224, 0.2874000072479248], 'power': 38.280513763427734}
{'id': 66, 'x': [0.9000999927520752, 0.32760000228881836, 0.2874000072479248], 'power': 39.463470458984375}
{'id': 67, 'x': [0.9000999927520752, 0.32760000228881836, 0.2874000072479248], 'power': 39.780914306640625}
{'id': 68, 'x': [0.9251999855041504, 0.24789999425411224, 0.2874000072479248], 'power': 35.68459701538086}
{'id': 69, 'x': [0.9251999855041504, 0.24789999425411224, 0.2874000072479248], 'power': 37.44437026977539}
{'id': 70, 'x': [0.9251999855041504, 0.24789999425411224, 0.2874000072479248], 'power': 40.31468963623047}
{'id': 71, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 34.33831787109375}
{'id': 72, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 35.15339279174805}
{'id': 73, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 34.2812614440918}
{'id': 74, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 34.00570297241211}
{'id': 75, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 34.53461837768555}
{'id': 76, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 37.406558990478516}
{'id': 77, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 35.08717727661133}
{'id': 78, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 36.084556579589844}
{'id': 79, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 36.41254806518555}
{'id': 80, 'x': [0.954200029373169, 0.08349999785423279, 0.2874000072479248], 'power': 35.303802490234375}
{'id': 81, 'x': [0.954200029373169, -0.08349999785423279, 0.2874000072479248], 'power': 36.4072265625}
{'id': 82, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 35.735595703125}
{'id': 83, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 37.13192367553711}
{'id': 84, 'x': [0.4788999855518341, -0.8295000195503235, 0.2874000072479248], 'power': 34.13783264160156}
{'id': 85, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 36.41688919067383}
{'id': 86, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 37.95707702636719}
{'id': 87, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 35.14301300048828}
{'id': 88, 'x': [0.7336999773979187, -0.6157000064849854, 0.2874000072479248], 'power': 34.36822509765625}
{'id': 89, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 37.156333923339844}
{'id': 90, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 35.05567169189453}
{'id': 91, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 38.669586181640625}
{'id': 92, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 35.42095947265625}
{'id': 93, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 35.731109619140625}
{'id': 94, 'x': [0.4047999978065491, 0.8680999875068665, 0.2874000072479248], 'power': 34.181541442871094}
{'id': 95, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 37.28717803955078}
{'id': 96, 'x': [0.5493999719619751, -0.784600019454956, 0.2874000072479248], 'power': 37.270633697509766}
{'id': 97, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 40.09326171875}
{'id': 98, 'x': [0.4788999855518341, -0.8295000195503235, 0.2874000072479248], 'power': 35.48372268676758}
{'id': 99, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 36.2401237487793}
{'id': 100, 'x': [0.24789999425411224, -0.9251999855041504, 0.2874000072479248], 'power': 36.173255920410156}
{'id': 101, 'x': [0.4788999855518341, -0.8295000195503235, 0.2874000072479248], 'power': 34.74690246582031}
{'id': 102, 'x': [0.4047999978065491, -0.8680999875068665, 0.2874000072479248], 'power': 39.01911926269531}
{'id': 103, 'x': [0.4047999978065491, -0.8680999875068665, 0.2874000072479248], 'power': 34.34430694580078}
